(-12.21, 18.59), RGB(red=255, green=240, blue=245)
(-9.19, 33.68), RGB(red=255, green=240, blue=245)
(6.74, 34.8), RGB(red=255, green=240, blue=245)
(9.04, 24.64), RGB(red=255, green=240, blue=245)
(-7.55, 48.84), RGB(red=255, green=240, blue=245)
(-12.26, 48.67), RGB(red=255, green=240, blue=245)
(2.59, 20.15), RGB(red=255, green=240, blue=245)
(-6.91, 42.13), RGB(red=255, green=240, blue=245)
(0.63, 50.94), RGB(red=255, green=240, blue=245)
(3.9, 58.41), RGB(red=255, green=240, blue=245)
(-9.51, 31.4), RGB(red=255, green=240, blue=245)
(-3.31, 18.2), RGB(red=255, green=240, blue=245)
(-6.26, 36.79), RGB(red=255, green=240, blue=245)
(-1.88, 56.09), RGB(red=255, green=240, blue=245)
(-19.48, 48.95), RGB(red=255, green=240, blue=245)
(-4.69, 17.87), RGB(red=255, green=240, blue=245)
(-13.2, 50.96), RGB(red=255, green=240, blue=245)
(-16.8, 48.84), RGB(red=255, green=240, blue=245)
(-0.07, 42.57), RGB(red=255, green=240, blue=245)
(-20.48, 40.62), RGB(red=255, green=240, blue=245)
(-19.87, 54.44), RGB(red=255, green=240, blue=245)
(-14.29, 59.67), RGB(red=255, green=240, blue=245)
(5.87, 20.41), RGB(red=255, green=240, blue=245)
(-14.87, 36.61), RGB(red=255, green=240, blue=245)
(3.45, 33.15), RGB(red=255, green=240, blue=245)
(-18.03, 46.9), RGB(red=255, green=240, blue=245)
(6.63, 47.53), RGB(red=255, green=240, blue=245)
(-22.9, 55.16), RGB(red=255, green=240, blue=245)
(-2.27, 24.26), RGB(red=255, green=240, blue=245)
(11.4, 31.29), RGB(red=255, green=240, blue=245)
(-16.41, 53.98), RGB(red=255, green=240, blue=245)
(-9.14, 30.51), RGB(red=255, green=240, blue=245)
(1.04, 23.46), RGB(red=255, green=240, blue=245)
(-6.77, 43.81), RGB(red=255, green=240, blue=245)
(-14.7, 49.7), RGB(red=255, green=240, blue=245)
(0.29, 36.48), RGB(red=255, green=240, blue=245)
(7.73, 38.27), RGB(red=255, green=240, blue=245)
(2.84, 21.68), RGB(red=255, green=240, blue=245)
(13.73, 30.37), RGB(red=255, green=240, blue=245)
(-3.7, 51.3), RGB(red=255, green=240, blue=245)
(-9.95, 46.68), RGB(red=255, green=240, blue=245)
(-6.95, 23.12), RGB(red=255, green=240, blue=245)
(-21.2, 57.72), RGB(red=255, green=240, blue=245)
(-19.52, 40.05), RGB(red=255, green=240, blue=245)
(2.73, 58.03), RGB(red=255, green=240, blue=245)
(-16.35, 59.8), RGB(red=255, green=240, blue=245)
(-4.45, 47.88), RGB(red=255, green=240, blue=245)
(-8.15, 35.73), RGB(red=255, green=240, blue=245)
(11.35, 29.93), RGB(red=255, green=240, blue=245)
(2.88, 24.02), RGB(red=255, green=240, blue=245)
(5.05, 25.25), RGB(red=255, green=240, blue=245)
(-20.02, 22.81), RGB(red=255, green=240, blue=245)
(-12.82, 56.9), RGB(red=255, green=240, blue=245)
(-7.08, 45.05), RGB(red=255, green=240, blue=245)
(-27.99, 44.15), RGB(red=237, green=145, blue=33)
(-10.1, 48.63), RGB(red=255, green=240, blue=245)
(2.1, 21.77), RGB(red=255, green=240, blue=245)
(-20.21, 45.24), RGB(red=255, green=240, blue=245)
(3.81, 28.11), RGB(red=255, green=240, blue=245)
(2.77, 43.06), RGB(red=255, green=240, blue=245)
(-27.04, 32.5), RGB(red=237, green=145, blue=33)
(-3.31, 41.86), RGB(red=255, green=240, blue=245)
(4.49, 46.75), RGB(red=255, green=240, blue=245)
(-1.08, 53.51), RGB(red=255, green=240, blue=245)
(3.27, 34.46), RGB(red=255, green=240, blue=245)
(2.11, 35.18), RGB(red=255, green=240, blue=245)
(-6.77, 43.18), RGB(red=255, green=240, blue=245)
(-19.02, 40.04), RGB(red=255, green=240, blue=245)
