(54.35, -35.83), RGB(red=205, green=102, blue=29)
(31.08, -12.95), RGB(red=205, green=102, blue=29)
(28.44, -28.15), RGB(red=205, green=102, blue=29)
(56.54, -25.12), RGB(red=205, green=102, blue=29)
(23.81, -25.07), RGB(red=205, green=102, blue=29)
(46.38, -19.93), RGB(red=205, green=102, blue=29)
(52.1, -26.13), RGB(red=205, green=102, blue=29)
(41.8, -38.62), RGB(red=205, green=102, blue=29)
(50.86, -32.47), RGB(red=205, green=102, blue=29)
(33.63, -40.89), RGB(red=205, green=102, blue=29)
(47.86, -9.8), RGB(red=205, green=102, blue=29)
(24.5, -19.65), RGB(red=205, green=102, blue=29)
(43.85, -18.87), RGB(red=205, green=102, blue=29)
(52.01, -40.41), RGB(red=205, green=102, blue=29)
(53.51, -26.43), RGB(red=205, green=102, blue=29)
(54.45, -48.96), RGB(red=205, green=102, blue=29)
(52.78, -37.86), RGB(red=205, green=102, blue=29)
(54.81, -19.85), RGB(red=205, green=102, blue=29)
(43.4, -11.36), RGB(red=205, green=102, blue=29)
(43.63, -7.9), RGB(red=205, green=102, blue=29)
(34.58, -31.48), RGB(red=205, green=102, blue=29)
(34.56, -40.24), RGB(red=205, green=102, blue=29)
(25.83, -19.5), RGB(red=205, green=102, blue=29)
(38.69, -19.93), RGB(red=205, green=102, blue=29)
(49.07, -40.79), RGB(red=205, green=102, blue=29)
(57.66, -44.33), RGB(red=205, green=102, blue=29)
(35.63, -9.03), RGB(red=205, green=102, blue=29)
(41.49, -37.15), RGB(red=205, green=102, blue=29)
(44.33, -39.87), RGB(red=205, green=102, blue=29)
(37.51, -11.16), RGB(red=205, green=102, blue=29)
(29.71, -19.07), RGB(red=205, green=102, blue=29)
(31.96, -29.06), RGB(red=205, green=102, blue=29)
(58.24, -18.47), RGB(red=205, green=102, blue=29)
(32.31, -16.94), RGB(red=205, green=102, blue=29)
(50.62, -17.75), RGB(red=205, green=102, blue=29)
(54.93, -35.02), RGB(red=205, green=102, blue=29)
(27.4, -24.4), RGB(red=205, green=102, blue=29)
(46.07, -52.07), RGB(red=205, green=102, blue=29)
(55.22, -49.23), RGB(red=205, green=102, blue=29)
(52.07, -41.24), RGB(red=205, green=102, blue=29)
(59.58, -28.55), RGB(red=205, green=102, blue=29)
(49.28, -18.33), RGB(red=205, green=102, blue=29)
