(-6.12, 44.58), RGB(red=198, green=226, blue=255)
(-14.12, 48.66), RGB(red=198, green=226, blue=255)
(-8.3, 41.83), RGB(red=198, green=226, blue=255)
(-34.34, 58.89), RGB(red=198, green=226, blue=255)
(-0.06, 43.59), RGB(red=198, green=226, blue=255)
(-34.87, 51.49), RGB(red=198, green=226, blue=255)
(-29.15, 49.64), RGB(red=198, green=226, blue=255)
(1.89, 50.27), RGB(red=198, green=226, blue=255)
(-0.71, 53.61), RGB(red=198, green=226, blue=255)
(-21.52, 39.39), RGB(red=198, green=226, blue=255)
(-7.57, 43.34), RGB(red=198, green=226, blue=255)
(-11.11, 57.71), RGB(red=198, green=226, blue=255)
(-22.32, 50.81), RGB(red=198, green=226, blue=255)
(-31.73, 49.15), RGB(red=198, green=226, blue=255)
(-8.77, 52.66), RGB(red=198, green=226, blue=255)
(-3.42, 55.33), RGB(red=198, green=226, blue=255)
(-20.8, 37.0), RGB(red=198, green=226, blue=255)
(-9.55, 59.69), RGB(red=198, green=226, blue=255)
(-3.58, 58.42), RGB(red=198, green=226, blue=255)
(-8.92, 57.91), RGB(red=198, green=226, blue=255)
(-3.94, 53.36), RGB(red=198, green=226, blue=255)
(-28.7, 52.1), RGB(red=198, green=226, blue=255)
(-24.88, 53.78), RGB(red=198, green=226, blue=255)
(0.76, 56.19), RGB(red=198, green=226, blue=255)
(-19.73, 45.57), RGB(red=198, green=226, blue=255)
(6.97, 58.34), RGB(red=198, green=226, blue=255)
(-28.09, 36.99), RGB(red=198, green=226, blue=255)
(-5.18, 50.6), RGB(red=198, green=226, blue=255)
(-21.95, 37.27), RGB(red=198, green=226, blue=255)
(-31.99, 46.73), RGB(red=198, green=226, blue=255)
(-3.81, 48.9), RGB(red=198, green=226, blue=255)
(-17.92, 41.29), RGB(red=198, green=226, blue=255)
(-10.9, 45.99), RGB(red=198, green=226, blue=255)
(-29.89, 44.14), RGB(red=198, green=226, blue=255)
(-28.15, 38.33), RGB(red=198, green=226, blue=255)
(-27.89, 55.97), RGB(red=198, green=226, blue=255)
(-28.52, 57.16), RGB(red=198, green=226, blue=255)
(-24.7, 52.33), RGB(red=198, green=226, blue=255)
(-13.15, 39.29), RGB(red=198, green=226, blue=255)
(-12.67, 52.37), RGB(red=198, green=226, blue=255)
(-27.92, 39.33), RGB(red=198, green=226, blue=255)
(-32.12, 55.02), RGB(red=198, green=226, blue=255)
(-12.64, 58.03), RGB(red=198, green=226, blue=255)
(-0.6, 47.72), RGB(red=198, green=226, blue=255)
(-13.32, 33.3), RGB(red=198, green=226, blue=255)
(-35.74, 44.7), RGB(red=198, green=226, blue=255)
(-0.9, 47.64), RGB(red=198, green=226, blue=255)
(-2.86, 57.48), RGB(red=198, green=226, blue=255)
(-26.97, 41.59), RGB(red=198, green=226, blue=255)
(-30.11, 58.92), RGB(red=198, green=226, blue=255)
(-9.82, 37.81), RGB(red=198, green=226, blue=255)
(-29.64, 54.77), RGB(red=198, green=226, blue=255)
(-23.8, 44.92), RGB(red=198, green=226, blue=255)
(-29.59, 42.49), RGB(red=198, green=226, blue=255)
(-10.88, 43.62), RGB(red=198, green=226, blue=255)
(-5.87, 40.6), RGB(red=198, green=226, blue=255)
(3.39, 46.16), RGB(red=198, green=226, blue=255)
(-29.76, 57.46), RGB(red=198, green=226, blue=255)
(-22.84, 50.26), RGB(red=198, green=226, blue=255)
