(-12.21, 18.59), RGB(red=255, green=131, blue=250)
(-9.19, 33.68), RGB(red=255, green=131, blue=250)
(6.74, 34.8), RGB(red=255, green=131, blue=250)
(9.04, 24.64), RGB(red=255, green=131, blue=250)
(-7.55, 48.84), RGB(red=255, green=131, blue=250)
(-12.26, 48.67), RGB(red=255, green=131, blue=250)
(2.59, 20.15), RGB(red=255, green=131, blue=250)
(-6.91, 42.13), RGB(red=255, green=131, blue=250)
(0.63, 50.94), RGB(red=255, green=131, blue=250)
(3.9, 58.41), RGB(red=255, green=131, blue=250)
(-9.51, 31.4), RGB(red=255, green=131, blue=250)
(-3.31, 18.2), RGB(red=255, green=131, blue=250)
(-6.26, 36.79), RGB(red=255, green=131, blue=250)
(-1.88, 56.09), RGB(red=255, green=131, blue=250)
(-19.48, 48.95), RGB(red=255, green=131, blue=250)
(-4.69, 17.87), RGB(red=255, green=131, blue=250)
(-13.2, 50.96), RGB(red=255, green=131, blue=250)
(-16.8, 48.84), RGB(red=255, green=131, blue=250)
(-0.07, 42.57), RGB(red=255, green=131, blue=250)
(-20.48, 40.62), RGB(red=255, green=131, blue=250)
(-19.87, 54.44), RGB(red=255, green=131, blue=250)
(-14.29, 59.67), RGB(red=255, green=131, blue=250)
(5.87, 20.41), RGB(red=255, green=131, blue=250)
(-14.87, 36.61), RGB(red=255, green=131, blue=250)
(3.45, 33.15), RGB(red=255, green=131, blue=250)
(-18.03, 46.9), RGB(red=255, green=131, blue=250)
(6.63, 47.53), RGB(red=255, green=131, blue=250)
(-22.9, 55.16), RGB(red=255, green=131, blue=250)
(-2.27, 24.26), RGB(red=255, green=131, blue=250)
(11.4, 31.29), RGB(red=255, green=131, blue=250)
(-16.41, 53.98), RGB(red=255, green=131, blue=250)
(-9.14, 30.51), RGB(red=255, green=131, blue=250)
(1.04, 23.46), RGB(red=255, green=131, blue=250)
(-6.77, 43.81), RGB(red=255, green=131, blue=250)
(-14.7, 49.7), RGB(red=255, green=131, blue=250)
(0.29, 36.48), RGB(red=255, green=131, blue=250)
(7.73, 38.27), RGB(red=255, green=131, blue=250)
(2.84, 21.68), RGB(red=255, green=131, blue=250)
(13.73, 30.37), RGB(red=255, green=131, blue=250)
(-3.7, 51.3), RGB(red=255, green=131, blue=250)
(-9.95, 46.68), RGB(red=255, green=131, blue=250)
(-6.95, 23.12), RGB(red=255, green=131, blue=250)
(-21.2, 57.72), RGB(red=255, green=131, blue=250)
(-19.52, 40.05), RGB(red=255, green=131, blue=250)
(2.73, 58.03), RGB(red=255, green=131, blue=250)
(-16.35, 59.8), RGB(red=255, green=131, blue=250)
(-4.45, 47.88), RGB(red=255, green=131, blue=250)
(-8.15, 35.73), RGB(red=255, green=131, blue=250)
(11.35, 29.93), RGB(red=255, green=131, blue=250)
(2.88, 24.02), RGB(red=255, green=131, blue=250)
(5.05, 25.25), RGB(red=255, green=131, blue=250)
(-20.02, 22.81), RGB(red=255, green=131, blue=250)
(-12.82, 56.9), RGB(red=255, green=131, blue=250)
(-7.08, 45.05), RGB(red=255, green=131, blue=250)
(-27.99, 44.15), RGB(red=139, green=71, blue=137)
(-10.1, 48.63), RGB(red=255, green=131, blue=250)
(2.1, 21.77), RGB(red=255, green=131, blue=250)
(-20.21, 45.24), RGB(red=255, green=131, blue=250)
(3.81, 28.11), RGB(red=255, green=131, blue=250)
(2.77, 43.06), RGB(red=255, green=131, blue=250)
(-27.04, 32.5), RGB(red=139, green=71, blue=137)
(-3.31, 41.86), RGB(red=255, green=131, blue=250)
(4.49, 46.75), RGB(red=255, green=131, blue=250)
(-1.08, 53.51), RGB(red=255, green=131, blue=250)
(3.27, 34.46), RGB(red=255, green=131, blue=250)
(2.11, 35.18), RGB(red=255, green=131, blue=250)
(-6.77, 43.18), RGB(red=255, green=131, blue=250)
(-19.02, 40.04), RGB(red=255, green=131, blue=250)
(-24.08, 38.84), RGB(red=255, green=131, blue=250)
(2.84, 49.63), RGB(red=255, green=131, blue=250)
(11.22, 44.34), RGB(red=255, green=131, blue=250)
(-14.35, 32.93), RGB(red=255, green=131, blue=250)
(5.35, 57.36), RGB(red=255, green=131, blue=250)
(-6.69, 57.9), RGB(red=255, green=131, blue=250)
(-8.83, 37.21), RGB(red=255, green=131, blue=250)
(-2.16, 49.2), RGB(red=255, green=131, blue=250)
(-18.53, 58.69), RGB(red=255, green=131, blue=250)
(-8.08, 41.87), RGB(red=255, green=131, blue=250)
(0.62, 19.76), RGB(red=255, green=131, blue=250)
(-3.93, 54.32), RGB(red=255, green=131, blue=250)
(1.76, 21.61), RGB(red=255, green=131, blue=250)
(-20.21, 48.09), RGB(red=255, green=131, blue=250)
(-6.83, 56.03), RGB(red=255, green=131, blue=250)
(-21.41, 44.81), RGB(red=255, green=131, blue=250)
(0.07, 19.18), RGB(red=255, green=131, blue=250)
(-13.36, 37.27), RGB(red=255, green=131, blue=250)
(-20.1, 55.9), RGB(red=255, green=131, blue=250)
(9.34, 38.19), RGB(red=255, green=131, blue=250)
(-0.46, 47.67), RGB(red=255, green=131, blue=250)
(-3.94, 22.39), RGB(red=255, green=131, blue=250)
(-48.65, 17.98), RGB(red=139, green=71, blue=137)
(-49.99, 25.39), RGB(red=139, green=71, blue=137)
(-51.97, 13.71), RGB(red=139, green=71, blue=137)
(-49.82, 19.36), RGB(red=139, green=71, blue=137)
(-39.76, 43.58), RGB(red=139, green=71, blue=137)
(-47.0, 32.23), RGB(red=139, green=71, blue=137)
(-53.85, 53.88), RGB(red=139, green=71, blue=137)
(-59.18, 50.54), RGB(red=139, green=71, blue=137)
(-39.84, 24.94), RGB(red=139, green=71, blue=137)
(-41.58, 26.19), RGB(red=139, green=71, blue=137)
(-58.07, 34.97), RGB(red=139, green=71, blue=137)
(-55.24, 19.69), RGB(red=139, green=71, blue=137)
(-56.11, 49.7), RGB(red=139, green=71, blue=137)
(-53.81, 26.67), RGB(red=139, green=71, blue=137)
(-49.92, 44.38), RGB(red=139, green=71, blue=137)
(-46.04, 24.08), RGB(red=139, green=71, blue=137)
(-34.53, 37.05), RGB(red=139, green=71, blue=137)
(-59.14, 38.78), RGB(red=139, green=71, blue=137)
(-46.91, 25.38), RGB(red=139, green=71, blue=137)
(-56.18, 43.54), RGB(red=139, green=71, blue=137)
(-55.56, 47.55), RGB(red=139, green=71, blue=137)
(-34.81, 39.81), RGB(red=139, green=71, blue=137)
(-37.89, 36.58), RGB(red=139, green=71, blue=137)
(-36.99, 38.77), RGB(red=139, green=71, blue=137)
(-52.08, 42.02), RGB(red=139, green=71, blue=137)
(-51.91, 36.7), RGB(red=139, green=71, blue=137)
(-51.31, 37.95), RGB(red=139, green=71, blue=137)
(-49.39, 35.93), RGB(red=139, green=71, blue=137)
(-51.75, 29.73), RGB(red=139, green=71, blue=137)
(-50.6, 16.28), RGB(red=139, green=71, blue=137)
(-49.04, 29.55), RGB(red=139, green=71, blue=137)
(-38.95, 38.06), RGB(red=139, green=71, blue=137)
(-43.92, 53.39), RGB(red=139, green=71, blue=137)
(-57.48, 38.48), RGB(red=139, green=71, blue=137)
(-47.93, 37.86), RGB(red=139, green=71, blue=137)
(-43.85, 35.41), RGB(red=139, green=71, blue=137)
(-47.61, 45.68), RGB(red=139, green=71, blue=137)
(-40.45, 24.56), RGB(red=139, green=71, blue=137)
(-56.69, 15.6), RGB(red=139, green=71, blue=137)
(-35.9, 33.88), RGB(red=139, green=71, blue=137)
(-58.95, 53.45), RGB(red=139, green=71, blue=137)
(-54.38, 55.16), RGB(red=139, green=71, blue=137)
(-35.16, 33.12), RGB(red=139, green=71, blue=137)
(-53.99, 42.2), RGB(red=139, green=71, blue=137)
(-58.86, 29.56), RGB(red=139, green=71, blue=137)
(-42.38, 47.45), RGB(red=139, green=71, blue=137)
(-51.7, 19.47), RGB(red=139, green=71, blue=137)
(-48.91, 17.57), RGB(red=139, green=71, blue=137)
(-47.05, 34.13), RGB(red=139, green=71, blue=137)
(-43.21, 42.59), RGB(red=139, green=71, blue=137)
(-40.12, 44.26), RGB(red=139, green=71, blue=137)
(-39.92, 44.52), RGB(red=139, green=71, blue=137)
(-41.83, 48.5), RGB(red=139, green=71, blue=137)
(-44.25, 50.97), RGB(red=139, green=71, blue=137)
(-38.98, 41.17), RGB(red=139, green=71, blue=137)
(-52.88, 40.25), RGB(red=139, green=71, blue=137)
(-59.45, 35.6), RGB(red=139, green=71, blue=137)
(-41.27, 43.55), RGB(red=139, green=71, blue=137)
(-44.3, 27.05), RGB(red=139, green=71, blue=137)
(-49.62, 35.69), RGB(red=139, green=71, blue=137)
(-39.59, 21.93), RGB(red=139, green=71, blue=137)
(-34.65, 33.26), RGB(red=139, green=71, blue=137)
