(8.06, 11.78), RGB(red=255, green=236, blue=139)
(-20.89, -5.92), RGB(red=34, green=139, blue=34)
(7.05, -17.09), RGB(red=255, green=193, blue=193)
(10.15, 54.39), RGB(red=255, green=236, blue=139)
(-22.36, 17.08), RGB(red=139, green=87, blue=66)
(59.1, -32.83), RGB(red=255, green=193, blue=193)
(27.77, -29.93), RGB(red=255, green=193, blue=193)
(14.37, 45.37), RGB(red=255, green=236, blue=139)
(-21.22, -37.5), RGB(red=34, green=139, blue=34)
(-35.91, 19.61), RGB(red=139, green=87, blue=66)
(4.55, -51.11), RGB(red=255, green=193, blue=193)
(-8.85, -6.79), RGB(red=34, green=139, blue=34)
(-59.03, 40.85), RGB(red=139, green=87, blue=66)
(30.92, 15.34), RGB(red=255, green=236, blue=139)
(-47.49, 3.88), RGB(red=139, green=87, blue=66)
(40.83, 20.52), RGB(red=255, green=236, blue=139)
(23.75, -8.16), RGB(red=255, green=193, blue=193)
(-24.69, 55.95), RGB(red=139, green=87, blue=66)
(-47.93, 52.4), RGB(red=139, green=87, blue=66)
(-5.69, -19.29), RGB(red=34, green=139, blue=34)
(-8.0, -20.94), RGB(red=34, green=139, blue=34)
(42.49, 30.63), RGB(red=255, green=236, blue=139)
(0.15, -2.47), RGB(red=255, green=193, blue=193)
(8.23, 49.13), RGB(red=255, green=236, blue=139)
(49.81, 30.75), RGB(red=255, green=236, blue=139)
(42.46, 39.52), RGB(red=255, green=236, blue=139)
(-8.6, -18.64), RGB(red=34, green=139, blue=34)
(-40.31, -24.97), RGB(red=34, green=139, blue=34)
(-25.53, -48.18), RGB(red=34, green=139, blue=34)
(1.71, -56.21), RGB(red=255, green=193, blue=193)
(54.43, 0.25), RGB(red=255, green=236, blue=139)
(2.68, -7.18), RGB(red=255, green=193, blue=193)
(-55.19, 10.42), RGB(red=139, green=87, blue=66)
(-25.61, 45.06), RGB(red=139, green=87, blue=66)
(-21.46, 36.04), RGB(red=139, green=87, blue=66)
(-21.7, 25.92), RGB(red=139, green=87, blue=66)
(-55.93, 5.19), RGB(red=139, green=87, blue=66)
(11.16, -9.76), RGB(red=255, green=193, blue=193)
(-53.98, -14.3), RGB(red=34, green=139, blue=34)
(54.18, -5.03), RGB(red=255, green=193, blue=193)
(-58.69, -12.43), RGB(red=34, green=139, blue=34)
(46.95, 59.67), RGB(red=255, green=236, blue=139)
(-5.54, -25.55), RGB(red=34, green=139, blue=34)
(-8.96, 13.07), RGB(red=139, green=87, blue=66)
(-25.17, -15.29), RGB(red=34, green=139, blue=34)
(-27.82, 21.41), RGB(red=139, green=87, blue=66)
(36.34, 19.95), RGB(red=255, green=236, blue=139)
(-9.69, 36.1), RGB(red=139, green=87, blue=66)
(-54.64, 28.01), RGB(red=139, green=87, blue=66)
(-4.47, -11.93), RGB(red=34, green=139, blue=34)
(17.41, 29.67), RGB(red=255, green=236, blue=139)
(-17.58, 36.92), RGB(red=139, green=87, blue=66)
(-1.0, 25.05), RGB(red=139, green=87, blue=66)
(33.92, -24.57), RGB(red=255, green=193, blue=193)
(47.2, -26.87), RGB(red=255, green=193, blue=193)
(19.63, 46.41), RGB(red=255, green=236, blue=139)
