Source Name,Related Story,Article Date & Year,URL
CNN,Hurricane Katrina,8/29/2005,https://www.cnn.com/2005/WEATHER/08/28/hurricane.katrina/
NBC,Hurricane Katrina,9/9/2005,https://www.nbcnews.com/id/wbna9269337
The Wall Street Journal,Hurricane Katrina,9/1/2005,https://www.wsj.com/articles/SB122487570244867421
New York Post,Hurricane Katrina,8/30/2005,https://nypost.com/2005/08/30/hurricane-katrina-spells-profit-for-oil-goons/
Fox News,Hurricane Katrina,9/6/2005,https://www.foxnews.com/story/keeping-the-record-straight-on-the-katrina-story
CNN,Hussein Executed,12/30/2006,https://www.cnn.com/2006/WORLD/meast/12/29/hussein/
NBC,Hussein Executed,12/29/2006,https://www.nbcnews.com/id/wbna16389128
The Wall Street Journal,Hussein Executed,12/30/2006,https://www.wsj.com/articles/SB116738789247862458
New York Post,Hussein Executed,12/30/2006,https://nypost.com/2006/12/30/saddam-is-the-king-of-swing-bye-bye-to-butcher-of-baghdad-as-diabolical-dictator-is-hanged-before-dawn-to-delight-of-oppressed-iraqis/
Fox News,Hussein Executed,12/29/2006,https://www.foxnews.com/story/saddam-hussein-executed-by-hanging-in-iraq
CNN,House Speaker,1/4/2007,http://edition.cnn.com/2007/POLITICS/01/04/pelosi.transcript/index.html
NBC,House Speaker,1/3/2007,https://www.nbcnews.com/id/wbna16449288
The Wall Street Journal,House Speaker,1/16/2007,https://www.wsj.com/articles/SB116891896808477346
New York Post,House Speaker,1/13/2007,https://nypost.com/2007/01/13/pelosi-bill-blasted-as-pork-for-tuna/
Fox News,House Speaker,,
CNN,Obama Elected,11/5/2008,http://edition.cnn.com/2008/POLITICS/11/04/election.president/index.html
NBC,Obama Elected,11/4/2008,https://www.nbcdfw.com/news/politics/decision_day/2112662/
The Wall Street Journal,Obama Elected,11/6/2008,https://www.wsj.com/articles/SB122581133077197035
New York Post,Obama Elected,11/5/2008,https://nypost.com/2008/11/05/barack-obama-wins-the-presidency/
Fox News,Obama Elected,11/6/2008,https://www.foxnews.com/story/fox-news-exit-poll-summary
CNN,Swine Flu,11/12/2009,http://www.cnn.com/2009/HEALTH/11/12/h1n1.flu.deaths/index.html
NBC,Swine Flu,10/9/2009,https://www.nbcnews.com/id/wbna33239736
The Wall Street Journal,Swine Flu,10/29/2009,https://www.wsj.com/articles/SB125683072097816241
New York Post,Swine Flu,10/14/2009,https://nypost.com/2009/10/14/swine-flu-prevention-kicks-into-high-gear-2/
Fox News,Swine Flu,9/27/2009,https://www.foxnews.com/story/government-to-intensely-track-for-h1n1-shot-side-effects
CNN,BP Oil Spill,5/1/2010,http://www.cnn.com/2010/US/05/01/louisiana.oil.spill/index.html
NBC,BP Oil Spill,,
The Wall Street Journal,BP Oil Spill,4/26/2010,https://www.wsj.com/articles/SB10001424052748704627704575204590586862162
New York Post,BP Oil Spill,5/12/2010,https://nypost.com/2010/05/12/gulf-of-mexico-massive-oil-spill/
Fox News,BP Oil Spill,6/10/2010,https://www.foxnews.com/us/bp-spill-response-plans-severely-flawed
CNN,Japan Earthquake & Tsunamis,3/12/2011,http://www.cnn.com/2011/WORLD/asiapcf/03/11/japan.quake/index.html
NBC,Japan Earthquake & Tsunamis,3/12/2011,https://www.nbcnews.com/id/wbna42044293
The Wall Street Journal,Japan Earthquake & Tsunamis,3/12/2011,https://www.wsj.com/articles/SB10001424052748704399804576193650432765520
New York Post,Japan Earthquake & Tsunamis,3/12/2011,https://nypost.com/2011/03/12/9-0-earthquake-hits-japan/
Fox News,Japan Earthquake & Tsunamis,3/12/2011,https://www.foxnews.com/world/hundreds-of-bodies-found-in-japan-after-massive-tsunami-spawned-by-earthquake
CNN,London Olympics ,8/12/2012,https://www.cnn.com/2012/08/12/sport/london-olympics-close-quest/index.html
NBC,London Olympics ,8/12/2012,https://nbcsportsgrouppressbox.com/2012/08/12/through-16-days-31-1-million-average-primetime-viewership-for-london-olympics-on-nbc-is-best-for-non-u-s-summer-olympics-in-36-years/
The Wall Street Journal,London Olympics ,8/13/2012,https://www.wsj.com/articles/BL-DFB-19010
New York Post,London Olympics ,8/13/2012,https://nypost.com/2012/08/13/london-olympics-closing-ceremony/
Fox News,London Olympics ,8/13/2012,https://www.foxnews.com/sports/london-2012-closing-ceremony-rio-de-janeiro-takes-torch-as-britain-closes-with-rock-roll-extravaganza
CNN,Boston Marathon Bombings,4/18/2013,https://www.cnn.com/2013/04/15/us/boston-marathon-explosions/index.html
NBC,Boston Marathon Bombings,4/16/2013,https://www.nbcnews.com/slideshow/amp/boston-marathon-bombing-51547100
The Wall Street Journal,Boston Marathon Bombings,4/16/2013,https://www.wsj.com/articles/SB10001424127887323346304578424950102614148
New York Post,Boston Marathon Bombings,4/15/2013,https://nypost.com/2013/04/15/terror-attack-strikes-boston-marathon-more-than-130-injured-person-of-interest-idd/
