domain,story_label,title,content
cnn.com,House Speaker,pelosi let work,story highlights • pelosi accepts gavel female house speaker • tribute paid gerald ford family • speaker sets goals 100 hours • priorities new plan iraq military adjust font size washington cnn  transcript speech rep nancy pelosi democrat california gave thursday elected speaker house representatives thank leader boehner mr speaker accept gavel spirit partnership partisanship look forward working mr boehner republicans congress good american people giving gavel away  congresses im glad honor today house
cnn.com,Obama Elected,obama,cnn  barack obama told supporters change come america claimed victory historic presidential election sen barack obama addresses crowd 125000 people chicago illinois photos » road ahead long climb steep year term america  hopeful tonight promise  people obama said chicago illinois estimated crowd 240000 people obamas projected win africanamerican win white house obama overwhelming victory sen john mccain pledged tuesday night help obama lead watch obama pay tribute mccain » today
cnn.com,Hurricane Katrina,new orleans braces monster,new orleans braces monster hurricane crescent city evacuation storm overwhelm levees animated satellite image taken sunday evening shows katrina approaching gulf coast related hurricane katrina 12 pm et sunday position center 90 miles south mouth mississippi river latitude 278 north longitude 894 west sustained winds near 160 mph source national hurricane center special report email alerts florida hurricane create new orleans louisiana cnn  new orleans braced catastrophic blow hurricane katrina overnight forecasters predicted category 5 storm drive wall water citys levees huge storm packing 160 mph winds expected hit northern gulf coast
cnn.com,Japan Earthquake & Tsunamis,widespread destruction japan earthquake,editors note read live blogging japan tsunami earthquake send video pictures ireport tokyo cnn  morning japan struck powerful earthquake hit island nation recorded history tsunami unleashed  earth continued twitch aftershocks  disasters massive impact beginning revealed rescue efforts began light military helicopters plucked survivors roofs carried safety 89magnitude temblor centered near east coast japan killed hundreds people caused formation 30foot walls water swept rice fields engulfed entire towns dragged houses highways tossed cars boats
cnn.com,BP Oil Spill,oil spill nears gulf coast experts issue dire,venice louisiana cnn  gulf coast residents braced saturday arrival massive oil slick creeping shore nearly million feet boom deployed effort protect precious estuaries wildlife  thousands barrels crude continued gushing water landfall mississippi river delta gulf areas expected early saturday im pretty pause right  big waiting game said david boola fisherman leads boat trips tourists venice louisiana officials residents wait oil reach land slick taken dramatic toll life gulf coast bringing fishing tourism halt places threatening cripple
cnn.com,Swine Flu,h1n1 death toll estimated 3900,atlanta georgia cnn  nearly 3900 people including 540 children believed died h1n1 flu months epidemic centers disease control prevention said thursday figure sharp increase previous counts laboratoryconfirmed cases dr anne schuchat director national center immunization respiratory diseases said estimate gives accurate picture scale pandemic figure based detailed analysis data dozen districts country said method used calculate mortality figures similar used produce estimates ordinary seasonal flu deaths believed number 36000 year estimated 22
cnn.com,Hussein Executed,hussein executed fear,story highlights • new iraqi tv airs video noose placed husseins neck • hussein refused wear black hood • bush praises iraqis giving fair trial • celebrations break baghdad michigan adjust font size baghdad iraq cnn  saddam hussein iraqi dictator spent years captivity ruthless regime toppled usled coalition 2003 hanged dawn saturday crimes committed brutal crackdown reign execution took place shortly 6 10 pm friday et iraqs national security adviser mowaffak alrubaie told iraqi television dark page turned rubaie said saddam gone today iraq iraq iraqis iraqis looking
cnn.com,Trump Elected,official clinton swamps trump popular,democratic presidential candidate hillary clinton r republican presidential candidate donald trump shake hands end second presidential debate washington university st louis missouri october 9 2016  afp  robyn beck photo credit read robyn beckafpgetty images manchester nh  april 12 donald trump speaks freedom summit executive court banquet facility april 12 2014 manchester new hampshire freedom summit held inaugural event national conservative leaders bring grassroots activists eve tax day photo darren mccollestergetty images republican presidential candidate donald trump speaks introducing newly selected vice presidential running mate mike pence governor
cnn.com,January 6th,heres happened   americas darkest,day doesnt start youre speed latest headlines let introduce new favorite morning fix sign 5 things newsletter cnn time yesterday shaping busy news day georgia democrats poised flip senate imminent runoff wins congress getting ready confirm results electoral college amid objections republican members coronavirus deaths rocketing new alltime high midday violent mob trump supporters egged president breached capitol sending politicians hiding sparking hours chaos violence insurrection sure darkest days american
cnn.com,London Olympics ,london 2012 legacy trust british,story highlights quest britain brought olympics games dose sanity criticized £93 billion cost good use time stimulus spending ioc president jacques rogge london created legacy blueprint challenge uk civic political leaders harness britains olympic pride editors note richard quest cnns foremost international business correspondent presenter quest means business british citizen pretense article evenhanded neutral follow twitter london cnn — trust british right  end comes taking stock london 2012 believe london games regarded brought olympics concept home britain brought
cnn.com,Boston Marathon Bombings,terrorism strikes boston marathon bombs kill 3 wound,officials watch explosion goes boylston street man lies ground incident injured woman carried away stretcher racers race officials stand explosions people comfort near site blasts runner wheelchair taken triage tent explosions went member bomb squad investigates suspicious item road near kenmore square bystanders check mobile devices news explosions cambridge police departments bomb squad investigates unattended personal items left explosions injured woman placed stretcher injured man prepared moved stretcher ambulance injured woman loaded ambulance
cnn.com,Area 51 Raid,thankfully fewer alien enthusiasts authorities expected arrests naruto,rachel nevada cnn — day waiting finally  wasnt exciting expected thats probably best million people pledged storm area 51  highly classified air force facility nevada friday aliens instead 3000 people showed surrounding areas decided storming mystifying location lincoln county sheriffs office said threaten going storm lincoln county sheriff kerry lee said officers warned consequences storming base second thoughts alcoholrelated arrest canadian citizen arrested indecent exposure lee said woman came close crossing
