domain,story_label,title,content
cnn.com,House Speaker,Pelosi: 'Let us work,"Story Highlights • Pelosi accepts gavel as first female House speaker • Tribute paid to Gerald Ford, her family • Speaker sets out goals for first 100 hours • Among priorities is new plan for Iraq, military Adjust font size: WASHINGTON (CNN) -- This is a transcript of the speech Rep. Nancy Pelosi, a Democrat from California, gave Thursday after being elected speaker of the U.S. House of Representatives: Thank you, Leader Boehner, Mr. Speaker. I accept this gavel in the spirit of partnership, not partisanship, and I look forward to working with you, Mr. Boehner, and the Republicans in the Congress for the good of the American people. After giving this gavel away in the first two -- in the last two Congresses, I'm glad someone else has the honor today. In this House we may be"
cnn.com,Obama Elected,Obama: 'This is your,"(CNN) -- Barack Obama told supporters that ""change has come to America"" as he claimed victory in a historic presidential election. Sen. Barack Obama addresses a crowd of 125,000 people in Chicago, Illinois. more photos » ""The road ahead will be long. Our climb will be steep. We may not get there in one year or even one term, but America -- I have never been more hopeful than I am tonight that we will get there. I promise you -- we as a people will get there,"" Obama said in Chicago, Illinois, before an estimated crowd of up to 240,000 people. With Obama's projected win, he will become the first African-American to win the White House. Obama had an overwhelming victory over Sen. John McCain, who pledged Tuesday night to help Obama lead. Watch Obama pay tribute to McCain » ""Today, I was"
cnn.com,Hurricane Katrina,New Orleans braces for monster,"New Orleans braces for monster hurricane Crescent City under evacuation; storm may overwhelm levees This animated satellite image taken Sunday evening shows Katrina approaching the Gulf Coast. RELATED HURRICANE KATRINA 12 p.m. ET Sunday Position of center: 90 miles south of the mouth of the Mississippi River Latitude: 27.8 north Longitude: 89.4 west Top sustained winds: near 160 mph Source: National Hurricane Center SPECIAL REPORT YOUR E-MAIL ALERTS Florida Hurricane or or Create Your Own NEW ORLEANS, Louisiana (CNN) -- New Orleans braced for a catastrophic blow from Hurricane Katrina overnight, as forecasters predicted the Category 5 storm could drive a wall of water over the city's levees. The huge storm, packing 160 mph winds, is expected to hit the northern Gulf Coast"
cnn.com,Japan Earthquake & Tsunamis,"Widespread destruction from Japan earthquake,","Editor's Note: Read live blogging of the Japan tsunami and earthquake. Are you there? Send your video, pictures to iReport. Tokyo (CNN) -- The morning after Japan was struck by the most powerful earthquake to hit the island nation in recorded history and the tsunami it unleashed -- and even as the earth continued to twitch with aftershocks -- the disaster's massive impact was only beginning to be revealed. Rescue efforts began with the first light as military helicopters plucked survivors from roofs and carried them to safety. The 8.9-magnitude temblor, which was centered near the east coast of Japan, killed hundreds of people, caused the formation of 30-foot walls of water that swept across rice fields, engulfed entire towns, dragged houses onto highways, and tossed cars and boats"
cnn.com,BP Oil Spill,"As oil spill nears Gulf Coast, experts issue dire","Venice, Louisiana (CNN) -- Gulf coast residents braced Saturday for the arrival of a massive oil slick creeping toward shore as nearly a million feet of boom were deployed in an effort to protect precious estuaries and wildlife -- even as thousands of barrels of crude continued gushing into the water. Landfall along the Mississippi River Delta and other Gulf areas was expected as early as Saturday. ""I'm pretty much on pause right now ... it's just a big waiting game,"" said David Boola, a fisherman who leads boat trips for tourists out of Venice, Louisiana. But even as officials and residents wait for the oil to reach land, the slick has already taken a dramatic toll on life all along the Gulf Coast, bringing fishing and tourism to a halt in many places and threatening to cripple those"
cnn.com,Swine Flu,"H1N1 death toll estimated at 3,900 in","Atlanta, Georgia (CNN) -- Nearly 3,900 people, including about 540 children, are believed to have died from the H1N1 flu in the first six months of the epidemic, the Centers for Disease Control and Prevention said Thursday. The figure is a sharp increase from previous counts of laboratory-confirmed cases. But Dr. Anne Schuchat, the director of the National Center for Immunization and Respiratory Diseases, said the estimate gives a ""more accurate picture"" of the scale of the pandemic. The figure was based on a detailed analysis of data from several dozen districts around the country, she said. The method used to calculate the mortality figures is similar to that used to produce estimates of ordinary seasonal flu deaths, which are believed to number about 36,000 a year. An estimated 22"
cnn.com,Hussein Executed,Hussein executed with 'fear in his,"Story Highlights • NEW: Iraqi TV airs video of noose placed around Hussein's neck • Hussein refused to wear black hood • Bush praises Iraqis for giving fair trial • Celebrations break out in Baghdad and Michigan Adjust font size: BAGHDAD, Iraq (CNN) -- Saddam Hussein, the former Iraqi dictator who spent his last years in captivity after his ruthless regime was toppled by the U.S.-led coalition in 2003, was hanged before dawn Saturday for crimes committed in a brutal crackdown during his reign. The execution took place shortly after 6 a.m. (10 p.m. Friday ET), Iraq's national security adviser, Mowaffak al-Rubaie, told Iraqi television. ""This dark page has been turned over,"" Rubaie said. ""Saddam is gone. Today Iraq is an Iraq for all the Iraqis, and all the Iraqis are looking"
cnn.com,Trump Elected,It’s official: Clinton swamps Trump in popular,"US Democratic presidential candidate Hillary Clinton (R) and US Republican presidential candidate Donald Trump shake hands at the end of the second presidential debate at Washington University in St. Louis, Missouri, on October 9, 2016. / AFP / Robyn Beck (Photo credit should read ROBYN BECK/AFP/Getty Images) MANCHESTER, NH - APRIL 12: Donald Trump speaks at the Freedom Summit at The Executive Court Banquet Facility April 12, 2014 in Manchester, New Hampshire. The Freedom Summit held its inaugural event where national conservative leaders bring together grassroots activists on the eve of tax day. Photo by Darren McCollester/Getty Images) Republican presidential candidate Donald Trump speaks before introducing his newly selected vice presidential running mate Mike Pence, governor of"
cnn.com,January 6th,Here's what happened -- and how -- on one of America's darkest,"If your day doesn't start until you're up to speed on the latest headlines, then let us introduce you to your new favorite morning fix. Sign up here for the '5 Things' newsletter. (CNN) At this time yesterday, it was already shaping up to be a busy news day: Two Georgia Democrats were poised to flip the Senate with imminent runoff wins. Congress was getting ready to confirm the results of the Electoral College amid objections by several Republican members. Coronavirus deaths in the US were rocketing to a new all-time high. Then, around midday, a violent mob of Trump supporters, egged on by the President himself, breached the US Capitol, sending politicians into hiding and sparking hours of chaos, violence and insurrection on what is sure to go down as one of the darkest days in American"
cnn.com,London Olympics ,London 2012 legacy: Trust the British to get it,"Story highlights Quest: Britain has brought the Olympics Games back a dose of sanity Though criticized, the £9.3 billion cost was put to good use at a time of stimulus spending IOC President Jacques Rogge: ""London has created a legacy blueprint"" Challenge for UK civic and political leaders: Harness Britain's Olympic pride Editor’s Note: Richard Quest is CNN’s foremost international business correspondent and presenter of Quest Means Business. He also is a British citizen and no pretense is made that this article is even-handed or neutral. Follow him on Twitter. London CNN — Trust the British to get it right – in the end. When it comes to taking stock on London 2012, I believe the London Games will be regarded as having brought the Olympics concept home. Britain has brought the"
